ID,Артикул,Имя,Наличие,Базовая цена
61587,1211053,Десертная вилка Cosmos,0,
61591,1211060,Закусочная вилка Cosmos,0,
61593,1211091,Столовая ложка Cosmos,0,
61595,1211329,Сервировочная вилка для салата Cosmos,0,
61598,1207063,Вилка для рыбы Saxophone,1,51900
61600,1701189,"Бокал Chateau для портвейна, 0,2 л",0,
61603,3700447,Перечница ECLIPSE,0,
61606,3700446,Солонка ECLIPSE,0,
61608,1701585,"Бокал для граппы, 0,09 л",0,
61612,1106803,"Набор из 2-х стеклянных стаканов чашек, 200 мл",0,
61616,1690087,"Сливочник Hotel Line, 0,26 л",0,
61620,1690131,"Перечница Hotel, фарфоровая",0,
61624,1106831,"Стакан для чая стеклянный, в черной подставке, 200 мл, 2 шт.",0,
61627,1690070,"Сахарница, 0,3 л",0,
61631,2800055,"Кружка с ложкой, 500 мл",0,
61635,1106229,"Перечница, 5х6 см",0,
61639,1106212,"Солонка, 5х6 см",0,
61643,1701612,"Стакан Chateau для виски, 0,46 л",0,
61645,1690032,"Тарелка Hotel, фарфоровая, диам. 21,5 см",0,
61649,1701601,"Бокал Chateau для белого вина, 0,35 л",0,
61653,1109664,Набор для сахара и сливок Orion на подставке,0,
61655,3700057,"Набор для салата ESSENTIALS ECLIPSE, 33 см",0,
61658,3700445,"Масленка с крышкой ECLIPSE 18 х 12,5 см",0,
61662,1690186,"Кружка для кофе Hotel, фарфоровая, 380 мл",0,
61664,3705009,"Кружка для кофе ECLIPSE, 370 мл, 2 шт.",0,
61668,1701604,"Бокал Chateau для бургундских вин, 0,72 л",0,
61670,1236032,"Набор десертных вилок Bistro, 12 шт.",0,
61674,3705101,"Набор из вазы и подсвечника, декорационный",0,146900
61678,1690247,"Дозатор для масла Hotel, фарфоровый, 0,4 л",0,
61680,1701701,Стакан высокий хайболл,0,
61682,1107057,"Набор чашек для чая чугунных, синие, 100 мл, 2 шт.",0,
61686,1107058,"Набор чашек для чая чугунных, фиолетовые, 100 мл, 2 шт.",0,
61689,1106298A,Набор для соли и перца на подставке,0,
61692,1107417,Дозатор для сахарной пудры,0,
61695,1107220,"Набор чашек для чая, чугун, белый, 100 мл, 2 шт.",0,
61698,1107225,"Набор чашек для чая, чугун, черный, 100 мл, 2 шт.",0,
61700,1690209,"Чашка для завтраков Hotel, фарфоровая, с блюдцем, 380 мл",0,
61704,1105437,Вилка для мяса Straight,0,
61707,1690018,"Тарелка Hotel, фарфоровая, диам. 30 см",0,
61708,1212008,"Набор столовых вилок Quadro, 12 шт.",0,
61709,1212002,"Набор столовых ложек Evita, 12 шт.",0,
61711,1212012,"Набор столовых ложек Pure, 12 шт.",0,
61713,1690049A,"Набор тарелок Hotel, фарфор, диам. 18 см (2 шт.)",0,
61715,8500514,"Перцемолка, 10 см",0,
61719,1690353,"Блюдо Hotel овальное, фарфоровое, 25 см",0,
61723,3700439,"Мисочка для риса с палочками ECLIPSE (2 шт.) 11 х 11,5 х 6 см",0,
61726,1110530,"Набор для сахара и сливок Cubo, 4 пр.",0,
61730,3800004,"Набор чашек Lover by Lover, белые, 220 мл, 2 шт.",0,
61734,1107073,"Чашка кофейная Straight, 150 мл",0,
61737,1107224,"Набор чашек для чая, чугун, серый, 100 мл, 2 шт.",0,
61739,1690032A,"Набор тарелок Hotel, фарфор, диам. 21,5 см (2 шт.)",0,
61743,1109718,Набор емкостей для сахара и сливок на подставке,0,
61747,3800003,"Набор кружек Lover by Lover, белые, 250 мл, 2 шт.",0,
61748,1212007,"Набор столовых ложек Quadro, 12 шт.",0,
61751,1108421,Подставка для салфеток,0,
61754,3700438,"Мисочка для мюсли ECLIPSE, 15 х 15 х 8,5 см, 2 шт./уп.",0,
61758,1108841,Набор дозаторов для сахара Geminis,0,
61762,3700433,"Чашка для чая ECLIPSE, с блюдцем, 240 мл, 2 шт.",0,
61766,1106014A,"Сахарница, 250 мл",1,328700
61769,3705012,"Мисочка для мюсли ECLIPSE, 0,65 л (2 шт.)",0,
